"filename", "language", "YAML", "Dart", "Java Properties", "Markdown", "XML", "Groovy", "JSON", "Swift", "C++", "Java", "comment", "blank", "total"
"d:\FlutterApp\lib\routes\routes.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 38
"d:\FlutterApp\lib\ui\pages\auth\login\login_controller.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"d:\FlutterApp\lib\ui\pages\auth\login\login_page.dart", "Dart", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 142
"d:\FlutterApp\lib\ui\pages\auth\register\register_controller.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"d:\FlutterApp\lib\ui\pages\auth\register\register_page.dart", "Dart", 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 207
"d:\FlutterApp\lib\ui\pages\favorites\favorites_controller.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32
"d:\FlutterApp\lib\ui\pages\favorites\favorites_page.dart", "Dart", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 129
"d:\FlutterApp\lib\ui\pages\favorites\widgets\card_car.dart", "Dart", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 96
"d:\FlutterApp\lib\ui\pages\home\compare_cars\compare_car.dart", "Dart", 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 216
"d:\FlutterApp\lib\ui\pages\home\compare_cars\compare_car_controller.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\FlutterApp\lib\ui\pages\home\compare_cars\selected_car\selected_car.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 71
"d:\FlutterApp\lib\ui\pages\home\compare_cars\selected_car\widgets\select_car.dart", "Dart", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 101
"d:\FlutterApp\lib\ui\pages\home\compare_cars\simulate_race\simulate_race.dart", "Dart", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 124
"d:\FlutterApp\lib\ui\pages\home\compare_cars\simulate_race\simulate_race_controller.dart", "Dart", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 112
"d:\FlutterApp\lib\ui\pages\home\compare_cars\simulate_race\widgets\simulate_specs.dart", "Dart", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 112
"d:\FlutterApp\lib\ui\pages\home\compare_cars\widgets\compare_specs.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\FlutterApp\lib\ui\pages\home\compare_cars\widgets\images_compare.dart", "Dart", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 100
"d:\FlutterApp\lib\ui\pages\home\create_car\create_car.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"d:\FlutterApp\lib\ui\pages\home\create_car\create_car_controller.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\FlutterApp\lib\ui\pages\home\create_car\widgets\form_create_car.dart", "Dart", 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 167
"d:\FlutterApp\lib\ui\pages\home\create_car\widgets\text_field_create.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"d:\FlutterApp\lib\ui\pages\home\home_controller.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"d:\FlutterApp\lib\ui\pages\home\home_page.dart", "Dart", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 211
"d:\FlutterApp\lib\ui\pages\home\info_cars\info_car.dart", "Dart", 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 268
"d:\FlutterApp\lib\ui\pages\home\info_cars\info_car_controller.dart", "Dart", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 104
"d:\FlutterApp\lib\ui\pages\home\info_cars\widgets\car_specs.dart", "Dart", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 124
"d:\FlutterApp\lib\ui\pages\home\info_cars\widgets\like_button.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\FlutterApp\lib\ui\pages\home\premium\payment\payment_controller.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\FlutterApp\lib\ui\pages\home\premium\payment\payment_page.dart", "Dart", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 113
"d:\FlutterApp\lib\ui\pages\home\premium\payment\widgets\text_form_field_payment.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\FlutterApp\lib\ui\pages\home\premium\premium_page.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"d:\FlutterApp\lib\ui\pages\home\premium\widgets\info_functions.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"d:\FlutterApp\lib\ui\pages\home\premium\widgets\rounded_button_payment.dart", "Dart", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 74
"d:\FlutterApp\lib\ui\pages\home\search_car\search_car.dart", "Dart", 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 193
"d:\FlutterApp\lib\ui\pages\home\search_car\search_car_controller.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 28
"d:\FlutterApp\lib\ui\pages\home\search_car\widgets\item_car_search.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"d:\FlutterApp\lib\ui\pages\home\video_car\billboard_page.dart", "Dart", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 87
"d:\FlutterApp\lib\ui\pages\profile\profile_controller.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18
"d:\FlutterApp\lib\ui\pages\profile\profile_page.dart", "Dart", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 218
"d:\FlutterApp\lib\ui\splash\splash_controller.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
